127.0.0.1, 2016-01-12 22:29:36, GET, /admin/static/_2.12.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.000876
127.0.0.1, 2016-01-12 22:29:36, GET, /admin/static/_2.12.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.005297
127.0.0.1, 2016-01-12 22:29:36, GET, /admin/static/_2.12.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002541
127.0.0.1, 2016-01-12 22:29:36, GET, /admin/static/_2.12.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002194
127.0.0.1, 2016-01-12 22:29:36, GET, /admin/static/_2.12.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002156
127.0.0.1, 2016-01-12 22:29:36, GET, /admin/static/_2.12.3/js/bootstrap.min.js, HTTP/1.1, 200, 0.002026
127.0.0.1, 2016-01-12 22:29:36, GET, /admin/static/_2.12.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001242
127.0.0.1, 2016-01-12 22:29:36, GET, /admin/static/_2.12.3/images/questions.png, HTTP/1.1, 200, 0.000413
127.0.0.1, 2016-01-12 22:29:41, POST, /admin/default/index, HTTP/1.1, 303, 0.031940
127.0.0.1, 2016-01-12 22:29:41, GET, /admin/default/site, HTTP/1.1, 200, 0.056448
127.0.0.1, 2016-01-12 22:29:42, GET, /admin/static/_2.12.3/images/folder_locked.png, HTTP/1.1, 200, 0.003510
127.0.0.1, 2016-01-12 22:29:42, GET, /admin/static/_2.12.3/images/folder.png, HTTP/1.1, 200, 0.001505
127.0.0.1, 2016-01-12 22:29:42, GET, /admin/static/_2.12.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000503
127.0.0.1, 2016-01-12 22:29:43, POST, /admin/default/check_version, HTTP/1.1, 200, 1.488706
127.0.0.1, 2016-01-12 22:29:49, GET, /admin/gae/deploy, HTTP/1.1, 200, 0.039103
127.0.0.1, 2016-01-12 22:29:49, GET, /admin/static/_2.12.3/css/jqueryMultiSelect.css, HTTP/1.1, 200, 0.001120
127.0.0.1, 2016-01-12 22:29:49, GET, /admin/static/_2.12.3/js/jqueryMultiSelect.js, HTTP/1.1, 200, 0.000617
127.0.0.1, 2016-01-12 22:29:49, GET, /admin/gae/callback, HTTP/1.1, 200, 0.008262
127.0.0.1, 2016-01-12 22:30:17, POST, /admin/gae/deploy, HTTP/1.1, 500, 0.102702
127.0.0.1, 2016-01-12 22:30:23, GET, /admin/default/ticket/admin/127.0.0.1.2016-01-12.22-30-17.b7e65060-c05c-434d-89c4-243414adf38a, HTTP/1.1, 200, 0.081865
127.0.0.1, 2016-01-12 22:30:23, GET, /admin/static/_2.12.3/images/help.png, HTTP/1.1, 200, 0.003212
127.0.0.1, 2016-01-12 22:46:00, GET, /, HTTP/1.1, 303, 0.004845
127.0.0.1, 2016-01-12 22:46:01, GET, /welcome/default/index, HTTP/1.1, 200, 0.196594
127.0.0.1, 2016-01-12 22:46:01, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001615
127.0.0.1, 2016-01-12 22:46:04, GET, /admin/default/site, HTTP/1.1, 200, 0.129405
127.0.0.1, 2016-01-12 22:46:09, GET, /admin/gae/deploy, HTTP/1.1, 200, 0.044455
